Data,Produto,Categoria,Preço,Quantidade,Desconto,Total_Venda,Idade,Renda
2023-01-01,Maçãs,Alimentos Frescos,16.46,10,0.0,164.60000000000002,49,2715.61
2023-01-01,Bananas,Alimentos Frescos,2.39,4,0.0,9.56,29,2280.15
2023-01-01,Laranjas,Alimentos Frescos,8.38,5,0.0,41.900000000000006,67,4419.56
2023-01-01,Tomates,Alimentos Frescos,2.03,15,0.0,30.449999999999996,29,3809.17
2023-01-01,Alface,Alimentos Frescos,37.14,14,0.0,519.96,24,1013.42
2023-01-01,Cenouras,Alimentos Frescos,17.52,4,0.0,70.08,37,4959.66
2023-01-01,Frango,Alimentos Frescos,38.17,3,0.0,114.51,63,2033.87
2023-01-01,Carne bovina,Alimentos Frescos,22.07,16,0.0,353.12,32,2682.55
2023-01-01,Carne suína,Alimentos Frescos,17.66,9,0.0,158.94,39,1854.33
2023-01-01,Salmão,Alimentos Frescos,6.66,2,0.0,13.32,67,1686.49
2023-01-01,Tilápia,Alimentos Frescos,17.12,2,0.0,34.24,44,1144.66
2023-01-01,Atum,Alimentos Frescos,33.32,18,0.0,599.76,57,1795.32
2023-01-01,Pão francês,Alimentos Frescos,6.56,17,0.0,111.52,35,4412.09
2023-01-01,Pão integral,Alimentos Frescos,17.14,4,0.0,68.56,52,4979.77
2023-01-01,Croissants,Alimentos Frescos,26.01,11,0.0,286.11,26,2695.61
2023-01-01,Arroz,Produtos de Mercearia,11.51,13,0.0,149.63,48,1425.27
2023-01-01,Feijão,Produtos de Mercearia,19.01,2,0.0,38.02,57,4196.36
2023-01-01,Macarrão,Produtos de Mercearia,44.73,14,0.0,626.2199999999999,37,2760.03
2023-01-01,Óleo,Produtos de Mercearia,4.4,7,0.0,30.800000000000004,44,1338.81
2023-01-01,Azeite,Produtos de Mercearia,40.75,8,0.0,326.0,74,1275.7
2023-01-01,Farinha,Produtos de Mercearia,8.02,13,0.0,104.25999999999999,45,2375.71
2023-01-01,Leite,Laticínios e Ovos,49.44,10,0.0,494.4,42,2373.69
2023-01-01,Queijo,Laticínios e Ovos,36.55,19,0.0,694.4499999999999,52,2721.19
2023-01-01,Iogurte,Laticínios e Ovos,27.19,18,0.0,489.42,57,1204.51
2023-01-01,Manteiga,Laticínios e Ovos,6.85,12,0.0,82.19999999999999,34,3862.08
2023-01-01,Ovos,Laticínios e Ovos,49.5,3,0.0,148.5,44,4386.17
2023-01-01,Refrigerantes,Bebidas,38.35,5,0.0,191.75,67,3432.29
2023-01-01,Sucos,Bebidas,26.16,12,0.0,313.92,74,4099.47
2023-01-01,Água mineral,Bebidas,31.05,3,0.0,93.15,24,4590.58
2023-01-01,Cervejas,Bebidas,41.85,8,0.0,334.8,28,3136.61
2023-01-01,Vinhos,Bebidas,7.48,5,0.0,37.400000000000006,64,1838.09
2023-01-01,Detergentes,Produtos de Limpeza,39.99,16,0.0,639.84,22,1838.93
2023-01-01,Sabão em pó,Produtos de Limpeza,41.39,4,0.0,165.56,65,1273.12
2023-01-01,Amaciantes,Produtos de Limpeza,26.3,15,0.0,394.5,40,3128.13
2023-01-01,Limpadores multiuso,Produtos de Limpeza,11.05,18,0.0,198.9,27,2496.14
2023-01-01,Esponjas,Produtos de Limpeza,45.83,18,0.0,824.9399999999999,67,2555.5
2023-01-01,Shampoos,Produtos de Higiene Pessoal,48.49,13,0.0,630.37,21,4229.52
2023-01-01,Sabonetes,Produtos de Higiene Pessoal,31.98,16,0.0,511.68,29,2023.5
2023-01-01,Creme dental,Produtos de Higiene Pessoal,43.5,19,0.0,826.5,68,4021.93
2023-01-01,Desodorantes,Produtos de Higiene Pessoal,44.86,17,0.0,762.62,22,4844.03
2023-01-01,Papel higiênico,Produtos de Higiene Pessoal,14.1,12,0.0,169.2,29,3676.16
2023-01-01,Sorvetes,Congelados,1.44,15,0.0,21.599999999999998,71,2085.33
2023-01-01,Pizzas congeladas,Congelados,40.57,18,0.0,730.26,41,1520.51
2023-01-01,Vegetais congelados,Congelados,31.43,1,0.0,31.43,28,3226.22
2023-01-01,Pratos prontos congelados,Congelados,41.98,8,0.0,335.84,22,4015.76
2023-01-01,Frango empanado,Congelados,44.29,4,0.0,177.16,45,4124.47
2023-01-01,Ração para cães,Pet Shop,25.37,2,0.0,50.74,22,2284.16
2023-01-01,Ração para gatos,Pet Shop,49.16,8,0.0,393.28,73,3946.91
2023-01-01,Petiscos,Pet Shop,23.9,13,0.0,310.7,22,4398.28
2023-01-01,Brinquedos para pets,Pet Shop,22.61,7,0.0,158.26999999999998,55,4141.8
2023-01-01,Produtos de higiene para pets,Pet Shop,44.36,9,0.0,399.24,26,3089.28
2023-01-01,Panelas,Utilidades Domésticas,33.46,1,0.0,33.46,64,3416.63
2023-01-01,Talheres,Utilidades Domésticas,9.5,10,0.0,95.0,48,2717.38
2023-01-01,Copos,Utilidades Domésticas,47.6,5,0.0,238.0,50,3204.57
2023-01-01,"Produtos descartáveis (pratos, copos, talheres)",Utilidades Domésticas,37.43,19,0.0,711.17,52,3552.52
2023-01-02,Maçãs,Alimentos Frescos,31.26,1,0.0,31.26,34,4966.51
2023-01-02,Bananas,Alimentos Frescos,9.79,8,0.0,78.32,73,1289.16
2023-01-02,Laranjas,Alimentos Frescos,16.05,2,0.0,32.1,23,4389.02
2023-01-02,Tomates,Alimentos Frescos,30.82,9,0.0,277.38,47,4964.2
2023-01-02,Alface,Alimentos Frescos,4.93,5,0.0,24.65,61,1410.33
2023-01-02,Cenouras,Alimentos Frescos,21.74,14,0.0,304.35999999999996,40,4875.14
2023-01-02,Frango,Alimentos Frescos,18.06,14,0.0,252.83999999999997,69,2370.48
2023-01-02,Carne bovina,Alimentos Frescos,23.6,4,0.0,94.4,71,2864.21
2023-01-02,Carne suína,Alimentos Frescos,9.29,6,0.0,55.739999999999995,55,1302.16
2023-01-02,Salmão,Alimentos Frescos,14.26,17,0.0,242.42,23,3914.89
2023-01-02,Tilápia,Alimentos Frescos,34.07,3,0.0,102.21000000000001,52,3962.22
2023-01-02,Atum,Alimentos Frescos,33.08,13,0.0,430.03999999999996,42,3086.51
2023-01-02,Pão francês,Alimentos Frescos,9.21,14,0.0,128.94,57,2165.47
2023-01-02,Pão integral,Alimentos Frescos,10.2,19,0.0,193.79999999999998,48,4686.11
2023-01-02,Croissants,Alimentos Frescos,29.58,6,0.0,177.48,60,1496.9
2023-01-02,Arroz,Produtos de Mercearia,32.94,6,0.0,197.64,29,1069.38
2023-01-02,Feijão,Produtos de Mercearia,47.59,2,0.0,95.18,52,4334.47
2023-01-02,Macarrão,Produtos de Mercearia,41.39,3,0.0,124.17,55,4642.36
2023-01-02,Óleo,Produtos de Mercearia,20.29,2,0.0,40.58,67,4979.25
2023-01-02,Azeite,Produtos de Mercearia,12.66,5,0.0,63.3,22,4432.49
2023-01-02,Farinha,Produtos de Mercearia,45.55,9,0.0,409.95,47,3933.23
2023-01-02,Leite,Laticínios e Ovos,42.55,7,0.0,297.84999999999997,58,4583.4
2023-01-02,Queijo,Laticínios e Ovos,26.07,6,0.0,156.42000000000002,20,4243.18
